cap_id,pop_cap,users_cap,ac_share_cap,kwh_cap,kwh_per_user_cap,kwh_pc_overall,kwh_GWh
96,17942.211835861206,14588.688036308695,0.8130930662155151,11039054.24747819,756.68585,615.2560424804688,11.039054247478191
97,16598.42121887207,14622.017632008065,0.8809282183647156,11387708.346731775,778.80554,686.07177734375,11.387708346731774
98,14380.48989868164,13435.210075586225,0.9342665076255798,8146694.9837984,606.369,566.51025390625,8.1466949837984
99,24342.991253852844,23856.1318930815,0.9800000190734864,14118609.541792475,591.82306,579.9866333007812,14.118609541792475
100,47341.84105396271,39139.26230198089,0.8267372250556946,30805637.06145012,787.0776,650.7063598632812,30.80563706145012
101,24992.35162115097,24492.505065419227,0.9800000190734863,15375941.797139065,627.7815,615.2258911132812,15.375941797139065
102,20945.950095653534,20527.031493252754,0.9800000190734862,9751613.734325934,475.06204,465.5608215332031,9.751613734325934
103,11031.124708798015,4985.568248067738,0.45195466279983526,2574877.1982136024,516.4661,233.41928100585935,2.5748771982136023
104,33387.493509120395,27989.839942393297,0.8383330702781677,15559008.066779094,555.88055,466.0130615234375,15.559008066779095
105,24873.10076235215,24375.639221521855,0.9800000190734863,17430888.052732285,715.0946,700.792724609375,17.430888052732286
106,10480.89203453064,10271.274393747179,0.9800000190734864,6963687.238944956,677.9769,664.4174194335938,6.9636872389449564
107,9688.623348236084,9494.851066067187,0.9800000190734863,7276203.442256492,766.3315,751.0048828125,7.276203442256492
108,18091.153290748596,17729.33056999499,0.9800000190734863,10636366.956010029,599.93054,587.9319458007812,10.63636695601003
109,15912.353633403778,15594.106864239762,0.9800000190734863,10584549.165719267,678.7532,665.1781005859375,10.584549165719267
110,28650.379437051713,28077.3723947733,0.9800000190734864,20362026.11389307,725.21124,710.70703125,20.36202611389307
111,27986.80167388916,27427.066174217256,0.9800000190734863,16943244.580220286,617.75635,605.4012451171875,16.943244580220284
112,24055.47758114175,23574.368488340737,0.9800000190734863,16785729.901975475,712.0331,697.7924194335938,16.785729901975476
