"URAU_CODE","agegroup","b1","b2","b3","b4","b5"
"BG002C","20-44",0.116306198640034,-0.0226214508053706,-0.119208840557627,0.037541966384565,0.19967895301343
"BG002C","45-64",-0.098001667351037,-0.235363924869486,-0.375090473401415,-0.226653332316818,0.076925476309293
"BG002C","65-74",-0.227516063014923,-0.363932294644593,-0.529729477835496,-0.386316601279494,0.00274088080947321
"BG002C","75-84",-0.330676224728478,-0.466338932526518,-0.652901767856775,-0.513490793472379,-0.0563482639082826
"BG002C","85+",-0.428277344541593,-0.563227134013885,-0.769436612668317,-0.633811888003225,-0.112253243092649
"BG003C","20-44",0.108977788195962,-0.0478399704448847,-0.100780972376707,0.000164348835573411,0.240008645212103
"BG003C","45-64",-0.105075293873303,-0.260329521632716,-0.35635839554703,-0.263716856334923,0.117401106278684
"BG003C","65-74",-0.235013628210299,-0.389318733460222,-0.511503578881262,-0.423902750091867,0.0429736827996252
"BG003C","75-84",-0.338008840574094,-0.491561626849612,-0.634478920886855,-0.550873595372921,-0.016020980523015
"BG003C","85+",-0.434141970213643,-0.586992560961458,-0.749260998851162,-0.669384975171167,-0.0710851091079909
"BG004C","20-44",0.0410562262366768,-0.0979247828358968,-0.1717220543138,-0.0420839380219864,0.0939711966500455
"BG004C","45-64",-0.173048928764359,-0.3104660265936,-0.42736165208862,-0.306029337867279,-0.028666169155978
"BG004C","65-74",-0.303721292516761,-0.440183906186739,-0.583383259834531,-0.467120131310297,-0.103514037597836
"BG004C","75-84",-0.406370617392396,-0.542083438591039,-0.705945615341278,-0.593664572045587,-0.162310579906467
"BG004C","85+",-0.501571214977081,-0.636588652241909,-0.819614258557055,-0.711026341288737,-0.216840563133114
"BG005C","20-44",0.36330028636827,0.265505845066716,0.16011189986339,0.351020816317906,0.408187840301125
"BG005C","45-64",0.146393255009257,0.0501831909969776,-0.0988731126687934,0.0836213082535952,0.283945586766663
"BG005C","65-74",0.01602446746364,-0.0792333298336168,-0.254532253199022,-0.0770952413124692,0.209271603845317
"BG005C","75-84",-0.08701632074621,-0.181521466164522,-0.37756201234816,-0.204122271765292,0.150250835118047
"BG005C","85+",-0.180309639464533,-0.274133332490582,-0.488953382033373,-0.319132778223593,0.0968133228131166
"BG006C","20-44",0.314873205368991,0.209419839286494,0.111946395711501,0.277661421780806,0.410079580260698
"BG006C","45-64",0.101243697916069,-0.0026492312464878,-0.143125283239124,0.0143023926012343,0.287714660778316
"BG006C","65-74",-0.0291601438717272,-0.132100550268801,-0.298826278214056,-0.146457371272156,0.213020599125464
"BG006C","75-84",-0.131836103243743,-0.234026522620275,-0.421420435065996,-0.273034646587243,0.154208800834436
"BG006C","85+",-0.225888156933137,-0.327391581808193,-0.533717727370501,-0.388980509344252,0.100336692462929
"BG007C","20-44",0.215334095106857,0.119023396600549,0.00365002667570208,0.215176836102257,0.171270767672474
"BG007C","45-64",-0.00131890244613844,-0.0960470792295433,-0.255031671814411,-0.0519095031618773,0.0471740222496474
"BG007C","65-74",-0.133676049442938,-0.227437435724159,-0.413064895352261,-0.21507727035685,-0.0286388737696458
"BG007C","75-84",-0.236552565642308,-0.329562499954246,-0.535898515222621,-0.341901788910838,-0.0875655490752001
"BG007C","85+",-0.329775617954395,-0.422104613128515,-0.647205987461146,-0.456825672070929,-0.140962813460993
