"URAU_CODE","agegroup","v11","v21","v31","v41","v51","v22","v32","v42","v52","v33","v43","v53","v44","v54","v55"
"BE005C","75-84",0.0121307235108581,0.00867866358053506,0.00999173523998785,0.0103395004804606,0.0162057176412396,0.00775683446715685,0.00843328510142432,0.00853603021522199,0.0128122666783378,0.00964173207734899,0.00941411496505242,0.0143973946070491,0.0112247928940491,0.0141919143338361,0.0348082202369627
"BE005C","85+",0.0126596527230978,0.0091028196293864,0.0104612556487778,0.0107778348880777,0.0167186622326049,0.00813005316180865,0.00882358040260441,0.00891422213510247,0.0132219353207417,0.0100877125653529,0.00982244036069497,0.014891737141807,0.0117003637974316,0.0144715171593211,0.0360490582942106
"BE006C","20-44",0.0263851163490611,0.020020875620524,0.0226214399045753,0.0220702804372324,0.0308572848375871,0.0177590125799593,0.0190058470397128,0.0186595584219127,0.0245842600237962,0.0217118253927162,0.0203920783628986,0.0284346042641511,0.0238144621001505,0.0226363898602696,0.0700906449361659
"BE006C","45-64",0.0201908191868422,0.0150086203404652,0.0170936415786396,0.016920873383702,0.0247207194165991,0.0133445611824296,0.0143800015148768,0.0141994524782281,0.0196354454731251,0.0164678244529976,0.0155924726990542,0.0225452777424558,0.0183730779769684,0.018998425219684,0.0564056281048246
"BE006C","65-74",0.0184958651408997,0.0136341292055772,0.0155788823972585,0.0155106936057949,0.0230293431380978,0.0121335598385578,0.0131100113169114,0.0129766738199837,0.018267696542401,0.0150309321609534,0.0142775494689303,0.0209240340019222,0.0168931048548402,0.0179710459765539,0.0527311465970576
"BE006C","75-84",0.018119272384888,0.0133254518547474,0.015239922462565,0.0151961159116498,0.0226400726995938,0.011861110265485,0.0128231931347834,0.0127023960575411,0.0179488111976015,0.014709505714697,0.0139836290453926,0.0205530805118217,0.0165741567706616,0.0177075867780523,0.0519920977891399
"BE006C","85+",0.0187294935025782,0.0138131556000899,0.015780044722175,0.0157010788667854,0.0232197216873526,0.0122897429039507,0.0132703195720767,0.0131369827806448,0.0184086434249752,0.0152220998771218,0.0144531949221743,0.0211134241001073,0.0171284534312545,0.0180009743155936,0.0534831523240168
"BE007C","20-44",0.023129895710485,0.0174919554294426,0.0197600431485523,0.0194706583549033,0.0275148176454531,0.0155035216864721,0.0165937126709741,0.0164146730218984,0.0219361083245778,0.0189049522830431,0.0179247991446393,0.0251829375245077,0.0208769285653673,0.0211541074633762,0.0601221200967701
"BE007C","45-64",0.0168577930458073,0.0124195967877648,0.0141650646085059,0.0142574779853154,0.0213205653412124,0.0110363332277614,0.0119145212115382,0.0119006432752409,0.0169460214994576,0.0135967088999043,0.0130662029964431,0.0192337905870828,0.0153551765345847,0.017519564296878,0.0461502778155058
"BE007C","65-74",0.0151402824450513,0.011028533776381,0.012631498262481,0.0128290853129124,0.0196180685804898,0.00981085855115835,0.0106304690432663,0.0106628622971763,0.0155723532053826,0.0121416843103217,0.0117345709272591,0.0175993133945803,0.0138483984298089,0.0165073916314292,0.0423594881237669
"BE007C","75-84",0.0147113772915772,0.0106789041242862,0.0122469373076661,0.0124714627484169,0.01918611112971,0.00950244295802131,0.0103068598347294,0.0103519349809991,0.0152215282877769,0.0117767632114725,0.0114007489865266,0.0171853148181456,0.0134777950993302,0.016236378607624,0.0414507744783732
"BE007C","85+",0.0152129724704905,0.0110804264511966,0.0126914584833382,0.0128866884021026,0.0196689875170782,0.00985531586635378,0.0106756487122094,0.010709585176078,0.0156062970698727,0.0121984012849224,0.0117869511129097,0.0176503761385571,0.0139298095752107,0.0164935241452868,0.0426378244974403
"BE008C","20-44",0.0254568110769977,0.0193040882777844,0.0218158940469493,0.0213281342746166,0.0298781119557412,0.0171207648480995,0.0183243046953686,0.0180270760764261,0.0238117692513672,0.0209220197579651,0.0196904713283452,0.0275012511664402,0.0229778405179071,0.0221698799468368,0.0672151761978195
"BE008C","45-64",0.0192573690741653,0.0142881383472801,0.0162843178368062,0.0161741439803861,0.0237416178557604,0.0127021627290136,0.0136950632198846,0.0135624887536131,0.0188637785763336,0.0156737307714795,0.0148861108369589,0.0216099520233371,0.0175286055195534,0.0185385886977888,0.0534774939516266
"BE008C","65-74",0.0175501725618161,0.0129040440049572,0.0147591246528612,0.014753624871661,0.0220412151227642,0.011482195334289,0.0124162352118353,0.0123304778439963,0.0174892328565822,0.0142265358762378,0.0135612804354114,0.0199788536805162,0.0160358658464323,0.0175099434671906,0.0497514995670953
"BE008C","75-84",0.0171502178820161,0.0125767202705837,0.0143997206588972,0.014419501982346,0.021631345090532,0.0111929184982753,0.0121122354500642,0.0120390561703443,0.0171541400068687,0.0138853907072098,0.013248928799573,0.0195871662399391,0.0156947397270746,0.0172376657681502,0.0489408970387719
"BE008C","85+",0.0177141615281326,0.0130273367930292,0.0148990472864035,0.014885884084013,0.0221682742741557,0.0115884486546111,0.0125252001406063,0.0124400213096222,0.0175800628134375,0.0143589211732665,0.0136823105305781,0.0201053914543494,0.0162063247921201,0.0175101032356734,0.0503058415264643
"BE009C","20-44",0.0210152088719855,0.0158358444600337,0.0179026071043061,0.0177304362400707,0.0251654081490601,0.0140607898571879,0.0150585132025723,0.0149272826480401,0.0200500978017739,0.0171509533526172,0.0163081992172482,0.022959620369437,0.0190324342777109,0.019687652593679,0.0546031081232743
"BE009C","45-64",0.0150515368013456,0.0110146176468469,0.0125842313230971,0.0127750639426251,0.0192850645483497,0.00981651637748455,0.0106131721188297,0.0106386286092157,0.0153152362957198,0.0121069284554834,0.0116916576300994,0.0173132218804451,0.0137808088283683,0.0162518605783538,0.0413155156285758
"BE009C","65-74",0.0133387361086502,0.00962837040389247,0.0110557374194041,0.0113514450950746,0.0175927334566899,0.00859631661986658,0.00933485640234089,0.00940625072520749,0.0139511445001828,0.0106577773158496,0.0103655301588731,0.0156892548010839,0.0122773429398928,0.0152542820403772,0.0375335385745104
"BE009C","75-84",0.0129428172842769,0.00930622706807388,0.010701300536118,0.011021926091354,0.0171977624137648,0.00831293064609164,0.00903763442990248,0.00912067064237944,0.013631227711491,0.0103222791305927,0.0100587402612329,0.0153113687368239,0.0119350912509943,0.0150118882967568,0.0366967983933046
