"city","URAU_CODE","agegroup","mmt","tmax","log_rr_slope_at_tmax","temperature","rr","log_rr","af_heat","baseline_daily_per100k","baseline_daily_per_person","mdd_heat_per_person_day","excess_heat_only_per100k_day"
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,11.5,1.08365426213709,0.0803389057752469,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,12,1.07393835996267,0.071332601481224,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,12.5,1.06487922255323,0.0628613866771286,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,13,1.05646165322075,0.0549252613629607,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,13.5,1.04867160544815,0.0475242255387203,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,14,1.04149614383831,0.0406582792044076,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,14.5,1.03492340832428,0.0343274223600225,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,15,1.02894258150215,0.0285316550055647,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,15.5,1.02354385896053,0.0232709771410347,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,16,1.01871842249278,0.018545388766432,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,16.5,1.01445841608947,0.0143548898817569,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,17,1.01075692461968,0.0106994804870095,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,17.5,1.00760795511993,0.00757916058218938,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,18,1.00500642062005,0.00499393016729693,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,18.5,1.00294812644478,0.00294378924233207,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,19,1.00142975893941,0.00142873780729474,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,19.5,1.00044887657714,0.000448775862184891,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,20,1.00000390341462,3.90340700262559e-06,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,20.5,1.00009412487122,9.41204417479469e-05,9.4116012558067e-05,3.6139107054271,3.6139107054271e-05,3.4012686533571e-09,0.00034012686533571
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,21,1.00071968581607,0.0007194269664208,0.000719168240889287,3.6139107054271,3.6139107054271e-05,2.59900980475297e-08,0.00259900980475297
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,21.5,1.00201977808833,0.00201774107897479,0.0020157068078847,3.6139107054271,3.6139107054271e-05,7.28458441201683e-08,0.00728458441201682
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,22,1.00516512154371,0.00515182805875669,0.00513858015265839,3.6139107054271,3.6139107054271e-05,1.85703698243874e-07,0.0185703698243874
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,22.5,1.01043880993656,0.0103847017841771,0.0103309669362516,3.6139107054271,3.6139107054271e-05,3.7335192008333e-07,0.037335192008333
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,23,1.01787422789129,0.017716362255236,0.0175603501901412,3.6139107054271,3.6139107054271e-05,6.34615375432002e-07,0.0634615375432002
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,23.5,1.02751864116008,0.0271468094719332,0.0267816466366073,3.6139107054271,3.6139107054271e-05,9.6786479489001e-07,0.096786479489001
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,24,1.03943369773008,0.0386760434342689,0.037937674924521,3.6139107054271,3.6139107054271e-05,1.3710336954874e-06,0.13710336954874
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,24.5,1.05369608500484,0.0523040641422431,0.0509597461440599,3.6139107054271,3.6139107054271e-05,1.84163972135866e-06,0.184163972135866
