year,scenario,ramp_factor,ac_penalty,deaths_on_warning_days,gross_avoided_deaths,net_avoided_deaths,life_years_saved,warning_days,cost_total,cost_pv,gross_<15,gross_15-64,gross_65+,net_<15,net_15-64,net_65+,lys_<15,lys_15-64,lys_65+
2022,central,0.08,0.9490837168693542,5.673758688529027,0.06461846381674707,0.04949848672663142,0.6746836721171248,15.8,18537.802489248,17473.65679069469,0.0,0.006897592427140825,0.05772087138960624,0.0,0.006207833184426742,0.04329065354220468,0.0,0.15519582961066855,0.5194878425064562
2023,central,1.0,0.948909078836441,6.054295650943238,0.8617464163710029,0.6596894571665448,8.959885787285366,16.2,238616.71420860002,218368.09579025686,0.0,0.08919763258861776,0.7725487837823851,0.0,0.08027786932975599,0.5794115878367888,0.0,2.0069467332438995,6.952939054041465
2024,central,1.0,0.9487344408035279,6.4348326133574485,0.9157420981646973,0.7006327123162377,9.486031365826587,16.6,245561.65235840002,218178.3475852135,0.0,0.09217425795143044,0.8235678402132669,0.0,0.08295683215628741,0.6176758801599502,0.0,2.073920803907185,7.412110561919403
2025,central,1.0,0.9485598027706146,6.815369575771658,0.9697178430904217,0.741560849531971,10.011982637087723,17.0,252557.34556500003,217858.1848451159,0.0,0.09514978142769834,0.8745680616627234,0.0,0.0856348032849285,0.6559260462470425,0.0,2.1408700821232127,7.87111255496451
2026,central,1.0,0.9483851647377014,7.195906538185869,1.023673651148176,0.7824738688137453,10.537739601068775,17.4,259603.7938284,217414.0903066342,0.0,0.09812420301742149,0.9255494481307547,0.0,0.08831178271567934,0.694162086098066,0.0,2.2077945678919835,8.329945033176791
2027,central,1.0,0.9482105267047882,7.57644350060008,1.0776095223379605,0.8233717701615603,11.063302257769742,17.8,266700.9971486,216852.31684833462,0.0,0.10109752272059988,0.9765119996173606,0.0,0.0909877704485399,0.7323839997130204,0.0,2.2746942612134973,8.788607996556244
2028,central,1.0,0.948035888671875,7.95698046301429,1.131525456659775,0.8642545535754163,11.588670607190629,18.2,273848.9555256,216178.89429913487,0.0,0.10406974053723349,1.0274557161225415,0.0,0.09366276648351014,0.7705917870919061,0.0,2.3415691620877537,9.247101445102874
2029,central,1.0,0.9478612506389618,8.337517425428501,1.1854214541136192,0.9051222190553126,12.113844649331423,18.6,281047.66895940003,215399.6360766567,0.0,0.10704085646732232,1.0783805976462968,0.0,0.0963367708205901,0.8087854482347225,0.0,2.4084192705147522,9.70542537881667
2030,central,1.0,0.9476866126060486,8.718054387842711,1.2392975146994936,0.94597476660125,12.638824384192137,19.0,288297.13745,214520.1456586897,0.0,0.11001087051086642,1.1292866441886271,0.0,0.09900978345977977,0.8469649831414703,0.0,2.4752445864944943,10.163579797697643
2031,central,1.0,0.9476866126060486,9.297040825166132,1.321602169029275,1.0079408332007227,13.40094809985244,19.8,300548.48087880004,217122.61723628137,0.0,0.11159470952510851,1.2100074595041665,0.0,0.10043523857259766,0.907505594628125,0.0,2.5108809643149415,10.8900671355375
2032,central,1.0,0.9476866126060486,9.876027262489552,1.4039068233590566,1.069906899800195,14.16307181551274,20.6,312808.9165572,219397.8804181826,0.0,0.11317854853935058,1.290728274819706,0.0,0.10186069368541553,0.9680462061147794,0.0,2.546517342135388,11.616554473377352
2033,central,1.0,0.9476866126060486,10.455013699812975,1.4862114776888382,1.1318729663996678,14.925195531173047,21.4,325078.44448520005,221362.60237509472,0.0,0.11476238755359267,1.3714490901352456,0.0,0.1032861487982334,1.0285868176014343,0.0,2.5821537199558353,12.343041811217212
2034,central,1.0,0.9476866126060486,11.034000137136395,1.5685161320186198,1.19383903299914,15.687319246833347,22.2,337357.06466280005,223032.7623672803,0.0,0.11634622656783473,1.452169905450785,0.0,0.10471160391105126,1.0891274290880888,0.0,2.6177900977762816,13.069529149057065
2035,central,1.0,0.9476866126060486,11.612986574459816,1.650820786348401,1.2558050995986123,16.44944296249365,23.0,349644.77709,224423.67752007855,0.0,0.11793006558207682,1.5328907207663243,0.0,0.10613705902386913,1.1496680405747433,0.0,2.6534264755967283,13.796016486896919
2036,central,1.0,0.9476866126060486,12.191973011783237,1.7331254406781829,1.3177711661980849,17.21156667815395,23.8,361941.5817668,225550.02768610336,0.0,0.11951390459631892,1.613611536081864,0.0,0.10756251413668702,1.210208652061398,0.0,2.6890628534171754,14.522503824736775
2037,central,1.0,0.9476866126060486,12.770959449106657,1.8154300950079645,1.3797372327975574,17.973690393814252,24.6,374247.47869320004,226425.87942532648,0.0,0.12109774361056098,1.6943323513974036,0.0,0.10898796924950489,1.2707492635480526,0.0,2.724699231237622,15.248991162576631
2038,central,1.0,0.9476866126060486,13.349945886430078,1.8977347493377459,1.4417032993970298,18.735814109474553,25.4,386562.46786920005,227064.70913321048,0.0,0.12268158262480308,1.7750531667129428,0.0,0.11041342436232278,1.331289875034707,0.0,2.7603356090580693,15.975478500416486
2039,central,1.0,0.9476866126060486,13.9289323237535,1.9800394036675275,1.5036693659965024,19.49793782513486,26.2,398886.54929480003,227479.4253460504,0.0,0.12426542163904515,1.8557739820284824,0.0,0.11183887947514064,1.3918304865213618,0.0,2.795971986878516,16.701965838256342
2040,central,1.0,0.9476866126060486,14.50791876107692,2.062344057997309,1.565635432595975,20.26006154079516,27.0,411219.72297000006,227682.3902517103,0.0,0.12584926065328722,1.9364947973440219,0.0,0.1132643345879585,1.4523710980080164,0.0,2.8316083646989623,17.4284531760962
2041,central,1.0,0.9472326296567917,14.763121223766834,2.097616520809597,1.5919692730126798,20.566668103779733,27.4,417903.5725074,224643.76280116334,0.0,0.12504588270321185,1.9725706381063854,0.0,0.11254129443289067,1.479427978579789,0.0,2.8135323608222667,17.75313574295747
2042,central,1.0,0.9467786467075348,15.018323686456746,2.132854226351885,1.6182771523198594,20.87297146720208,27.8,424604.6981176,221598.0077870893,0.0,0.12424321703963843,2.0086110093122462,0.0,0.11181889533567459,1.5064582569841847,0.0,2.7954723833918647,18.077499083810217
