year,scenario,ramp_factor,ac_penalty,deaths_on_warning_days,gross_avoided_deaths,net_avoided_deaths,life_years_saved,warning_days,cost_total,cost_pv,gross_<15,gross_15-64,gross_65+,net_<15,net_15-64,net_65+,lys_<15,lys_15-64,lys_65+
2036,central,1.0,0.9110241889953613,145.54212585833363,12.457113936032718,9.46315431924087,122.94272347376419,47.0,1147746.8811760002,715237.9109418798,0.0,0.8021257814422016,11.654988154590516,0.0,0.7219132032979815,8.741241115942888,0.0,18.047830082449536,104.89489339131465
2037,central,1.0,0.9108919233083725,149.70258760802298,12.841605953680531,9.750406741466001,126.30265844162908,48.0,1169528.711568,707584.1043862855,0.0,0.7946818413706882,12.046924112309844,0.0,0.7152136572336194,9.035193084232382,0.0,17.880341430840485,108.42231701078859
2038,central,1.0,0.9107596576213837,153.86304935771233,13.225985786093256,10.037575343960135,129.66161246995676,49.0,1191200.612126,699704.816152027,0.0,0.7872400292679593,12.438745756825297,0.0,0.7085160263411634,9.329059317618972,0.0,17.712900658529087,111.94871181142767
2039,central,1.0,0.9106273919343948,158.0235111074017,13.610253433270895,10.324660126723273,133.01958555874725,50.0,1212762.5828500001,691621.554839694,0.0,0.7798003451340149,12.83045308813688,0.0,0.7018203106206133,9.62283981610266,0.0,17.54550776551533,115.47407779323191
2040,central,1.0,0.910495126247406,162.18397285709105,13.994408895213445,10.61166108975541,136.37657770800053,51.0,1234214.6237400002,683354.7126270477,0.0,0.772362788968855,13.222046106244589,0.0,0.6951265100719696,9.916534579683441,0.0,17.378162751799238,118.99841495620129
2041,central,1.0,0.9094357192516327,164.65375741127713,14.223501557263672,10.780231058840332,138.14595419570517,51.7,1248543.0055483002,671153.3885738136,0.0,0.750699272617195,13.472802284646477,0.0,0.6756293453554756,10.104601713484858,0.0,16.89073363388689,121.25522056181829
2042,central,1.0,0.9083763122558594,167.12354196546318,14.4520225397551,10.948379524978932,139.91083867243054,52.4,1262800.6611192,659046.195147681,0.0,0.7290841344173812,13.72293840533772,0.0,0.656175720975643,10.29220380400329,0.0,16.404393024391076,123.50644564803947
2043,central,1.0,0.907316905260086,169.59332651964925,14.679971842687731,11.116106488171209,141.67123113817664,53.1,1276987.5904527,647039.0749295008,0.0,0.7075173743694139,13.972454468318317,0.0,0.6367656369324725,10.479340851238737,0.0,15.919140923311812,125.75209021486484
2044,central,1.0,0.9062574982643128,172.06311107383533,14.907349466061568,11.283411948417172,143.4271315929436,53.8,1291103.7935488,635137.5131625752,0.0,0.685998992473293,14.221350473588275,0.0,0.6173990932259638,10.666012855191207,0.0,15.434977330649094,127.99215426229449
2020,high,0.15,0.8371241211891174,77.79289348151475,1.6030256001163148,1.0006345362763938,14.026211598060186,28.0,104303.741808,104303.741808,0.0,0.19409588103302494,1.40892971908329,0.0,0.15527670482641998,0.8453578314499739,0.0,3.8819176206604995,10.144293977399688
